Nombre de Archivo,Folio,Matrícula matriz,Matrículas derivadas,Área de Terreno,Servidumbre,Dirección,Dirección Corregida
148-10 B.pdf,10,,,,NO,CL 15 # 14 Y 15 LT,CL 15 N 14 Y 15 LO
148-1000 B.pdf,1000,,,,NO,KR 8 # 16 Y 17,CR 8 N 16 Y 17
148-101 B.pdf,101,,,,NO,KR 13 # 9 - 37 LT,CR 13 N 9 - 37 LO
148-1047 B.pdf,1047,,,,NO,,
148-1062 B.pdf,1062,,148-51097,,NO,CL 15 # 18,CL 15 N 18
148-107 B.pdf,107,,,,NO,,
148-109 B.pdf,109,,,,NO,CARRERA 12 CALLES 9 Y 10,CR 12 CL 9 Y 10
148-1107 B.pdf,1107,,,,NO,LOTE O SOLAR BARRIO SAN ROQUE,LO BR SAN ROQUE
148-111 B.pdf,111,148-21245,148-2446,,NO,CARRERA 12 CALLES 16 Y 17,CR 12 CL 16 Y 17
148-1115 B.pdf,1115,,,,NO,,
148-1116 B.pdf,1116,,,,NO,,
148-1118 B.pdf,1118,,,,NO,CL 13,CL 13
148-1119 B.pdf,1119,,,,NO,BR GUAYABAL CASA LT,BR GUAYABAL CALO
148-113 B.pdf,113,,,,NO,BARRIO SAN ROQUE CALLE 5,BR SAN ROQUE CL 5
148-1131 B.pdf,1131,,,,NO,CARRERA 13 ENTRE CALLES 11 Y 12,CR 13   CL 11 Y 12
148-114 B.pdf,114,,,,NO,KR 11,CR 11
148-1170 B.pdf,1170,,148-23193,,NO,CL LARGA LT O SOLAR BARR,CL LARGA LO O SOLAR BR
148-1180 B.pdf,1180,,148-28102,,NO,BARRIO EL PRADO,BR EL PRADO
148-1206 B.pdf,1206,,,,NO,LOTE O SOLAR CALLE 12,LO CL 12
148-121 B.pdf,121,,,,NO,BARRIO EL PRADO,BR EL PRADO
148-1217 B.pdf,1217,,,,NO,CL 13 # 7 ENTRE Y 8 CASA LT,CL 13 N 7   Y 8 CALO
148-1220 B.pdf,1220,,,,NO,,
148-1221 B.pdf,1221,,,,NO,KR 10 # 10 - 16 BARR BOSQUE CENTRO,CR 10 N 10 - 16 BR BOSQUE CENTRO
148-1283 B.pdf,1283,,,,NO,BR EL PRADO,BR EL PRADO
148-1309 B.pdf,1309,,,,NO,CL 12,CL 12
148-1331 B.pdf,1331,,,,NO,,
148-1423 B.pdf,1423,,,,NO,,
148-1424 B.pdf,1424,,148-55919,,NO,CL 9 ENTRE CARRERA 10 Y 11,CL 9   CR 10 Y 11
148-1548 B.pdf,1548,,,,NO,BARRIO SAN ROQUE CARRERA 13,BR SAN ROQUE CR 13
148-1568 B.pdf,1568,,,,NO,CL 15 # 15,CL 15 N 15
148-1598 B.pdf,1598,,,,NO,,
148-1614 B.pdf,1614,,148-40708,0,NO,BARRIO EL PRADO,BR EL PRADO
148-1615 B.pdf,1615,,,,NO,BR EL PRADO,BR EL PRADO
148-1654 B.pdf,1654,,,,NO,CARRERA 9 CALLES 13 Y 14,CR 9 CL 13 Y 14
148-1691 B.pdf,1691,,148-51134,,NO,,
148-17 B.pdf,17,,,,NO,BR SAN RAFAEL,BR SAN RAFAEL
148-1751 B.pdf,1751,148-15923,,,NO,EL PRADO,EL PRADO
148-1755 B.pdf,1755,,148-5218,,NO,CL 17 # 12 - 38,CL 17 N 12 - 38
148-1760 B.pdf,1760,,,,NO,BR SAN ROQUE,BR SAN ROQUE
148-1768 B.pdf,1768,148-1410,,,NO,SOLAR CALLE 15A,SOLAR CL 15A
148-1785 B.pdf,1785,,148-3050 148-26405,,NO,BARRIO CALLE LARGA CARRERA 12 CALLES 9 Y 10,BR CL LARGA CR 12 CL 9 Y 10
148-1808 B.pdf,1808,,,,NO,KR 8 CASA LT,CR 8 CALO
148-1815 B.pdf,1815,,,,NO,KR 8 # 12 - 25,CR 8 N 12 - 25
148-1819 B.pdf,1819,,148-10346,,NO,BR SANTO DOMINGO,BR SANTO DOMINGO
148-1861 B.pdf,1861,,,,NO,CL 12 # 9 - 51,CL 12 N 9 - 51
148-1906 B.pdf,1906,,,,NO,KR 10 # 15 Y 16,CR 10 N 15 Y 16
148-1907 B.pdf,1907,,,,NO,CL 15 # 12 CASA LT,CL 15 N 12 CALO
148-1909 B.pdf,1909,,,,NO,CARRERA 13 N�10-56,CR 13 N 10-56
148-1935 B.pdf,1935,,148-13875,,NO,BR SAN ROQUE,BR SAN ROQUE
148-2006 B.pdf,2006,,,,NO,KR 10 # 10 Y 11,CR 10 N 10 Y 11
148-2016 B.pdf,2016,,,,NO,CL 15 # 13 - 53 BARR SAN ROQUE,CL 15 N 13 - 53 BR SAN ROQUE
148-2038 B.pdf,2038,148-435,,,NO,,
148-2039 B.pdf,2039,148-435,,,NO,,
148-2042 B.pdf,2042,,,,NO,CARRERA 15 CALLES 11 Y 12,CR 15 CL 11 Y 12
148-239 B.pdf,239,,148-5562 148-4269 148-3155,,NO,CL 11 # 15 - 21 BARR EL PRADO,CL 11 N 15 - 21 BR EL PRADO
148-242 B.pdf,242,,,,NO,BR EL PRADO,BR EL PRADO
148-245 B.pdf,245,148-23969,,,NO,BARRIO SAN PEDRO,BR SAN PEDRO
148-26 B.pdf,26,,,811,NO,KR 9 # 16 - 16 11 CASA LT,CR 9 N 16 - 16 11 CALO
148-304 B.pdf,304,,148-4363 148-23555,,NO,CL 15 # 8,CL 15 N 8
148-316 B.pdf,316,,,,NO,CL 14 # 8 - 27,CL 14 N 8 - 27
148-325 B.pdf,325,,,,NO,BR SAN RAFAEL,BR SAN RAFAEL
148-366 B.pdf,366,148-15642,,,NO,LOTE O SOLAR CARRERA 15 CALLE 13,LO CR 15 CL 13
148-398 B.pdf,398,,,,NO,CALLE 16 N�14-66 BARRIO SAN ROQUE,CL 16 N 14-66 BR SAN ROQUE
148-406 B.pdf,406,,,,NO,CL 16 # 12 - 23,CL 16 N 12 - 23
148-418 B.pdf,418,,,,NO,CARRERA 9 CALLES 11 Y 12,CR 9 CL 11 Y 12
148-432 B.pdf,432,,,,NO,CARRERA 8 13 - 41,CR 8 13 - 41
148-472 B.pdf,472,,148-48047,,NO,CL 14 # 16 BARR SAN ROQUE,CL 14 N 16 BR SAN ROQUE
148-504 B.pdf,504,,148-18735,,NO,CL 16 # 9 Y 10,CL 16 N 9 Y 10
148-520 B.pdf,520,,,,NO,CL 15 # 8 - 35 B CENTRO SOLAR,CL 15 N 8 - 35 B CENTRO SOLAR
148-575 B.pdf,575,,148-21430,,NO,CL LARGA BARRIO,CL LARGA BR
148-674  B.pdf,674,148-32875,,,NO,CL 11 # 7 BARR SAN PEDRO,CL 11 N 7 BR SAN PEDRO
148-69 B.pdf,69,,,,NO,CL 19 # 8 Y 9,CL 19 N 8 Y 9
148-7 B.pdf,7,,,,NO,CL 8 A # 14 - 13,CL 8 A N 14 - 13
148-744 B.pdf,744,148-2781,,,NO,BR MARIA AUXILIADORA,BR MARIA AUXILIADORA
148-784 B.pdf,784,,,,NO,CALLE 16 8-17,CL 16 8-17
148-855 B.pdf,855,,,,NO,,
148-867 B.pdf,867,,,,NO,CASA-LOTE CALLE 17 CRA. 8,CA-LO CL 17 CR 8
148-883 B.pdf,883,,,,NO,CL 14 # 14 - 25,CL 14 N 14 - 25
148-885 B.pdf,885,,,,NO,CL 18 # 7 - 21,CL 18 N 7 - 21
148-898 B.pdf,898,,148-51355,,NO,"LOTE O SOLAR BARRIO ""EL PRADO""","LO BR ""EL PRADO"""
148-9 B.pdf,9,,,,NO,BARRIO CALLE LARGA,BR CL LARGA
148-911 B.pdf,911,148-19377,,,NO,,
148-915 B.pdf,915,,,,NO,,
148-928 B.pdf,928,,148-44699 148-45097 148-45670 148-51890,,NO,CL 9,CL 9
148-943 B.pdf,943,,,,NO,BR EL PRADO,BR EL PRADO
148-946 B.pdf,946,,,,NO,CL 17 # 10 BARR GUAYABAL,CL 17 N 10 BR GUAYABAL
148-947 B.pdf,947,,148-47451 148-47493 148-48106 148-49387,,NO,,
148-953 B.pdf,953,148-13353,,,NO,BR GUAYABAL,BR GUAYABAL
148-958 B.pdf,958,,,,NO,KR 14 # 17 - 54 CASA LT,CR 14 N 17 - 54 CALO
148-963 B.pdf,963,,,,NO,CL 13,CL 13
148-973 B.pdf,973,,,,NO,CL 15 # 16 Y 17 BARR SAN ROQUE,CL 15 N 16 Y 17 BR SAN ROQUE
148-996 B.pdf,996,,148-2054,,NO,LT O SOLAR Y CASA,CALO
